[2021-02-01 10:16:36.500815, 1612203396.500815]Preparing service...
[2021-02-01 10:16:37.511638, 1612203397.511638]Preparing service...
[2021-02-01 10:16:38.518029, 1612203398.518029]Preparing service...
[2021-02-01 10:16:39.527067, 1612203399.527067]Preparing service...
[2021-02-01 10:16:40.532805, 1612203400.532805]Preparing service...
[2021-02-01 10:16:41.543731, 1612203401.543731]Preparing service...
[2021-02-01 10:16:42.549714, 1612203402.549714]Preparing service...
[2021-02-01 10:16:43.554745, 1612203403.554745]Preparing service...
[2021-02-01 10:16:44.562855, 1612203404.562855]Preparing service...
[2021-02-01 10:16:45.572088, 1612203405.572088]Preparing service...
[2021-02-01 10:16:46.578530, 1612203406.57853]Preparing service...
[2021-02-01 10:16:46.578530, 1612203406.57853]Beginning web scraping...
[2021-02-01 10:16:46.578530, 1612203406.57853]Opening URL.
[2021-02-01 10:16:56.987813, 1612203416.987813]Searching for classes named SUGsignups.
[2021-02-01 10:16:57.050559, 1612203417.050559]Stripping and analyzing HTML.
[2021-02-01 10:16:57.053532, 1612203417.053532]No openings found!
[2021-02-01 10:16:58.056671, 1612203418.056671]Preparing service...
[2021-02-01 10:16:59.067036, 1612203419.067036]Preparing service...
