[2021-02-01 19:50:32.027735, 1612237832.027735]Preparing service...
[2021-02-01 19:50:33.029432, 1612237833.029432]Preparing service...
[2021-02-01 19:50:34.043366, 1612237834.043366]Preparing service...
[2021-02-01 19:50:35.046488, 1612237835.046488]Preparing service...
[2021-02-01 19:50:36.047078, 1612237836.047078]Preparing service...
[2021-02-01 19:50:37.048015, 1612237837.048015]Preparing service...
[2021-02-01 19:50:38.059892, 1612237838.059892]Preparing service...
[2021-02-01 19:50:39.072494, 1612237839.072494]Preparing service...
[2021-02-01 19:50:40.081392, 1612237840.081392]Preparing service...
[2021-02-01 19:50:41.094077, 1612237841.094077]Preparing service...
[2021-02-01 19:50:42.109424, 1612237842.109424]Preparing service...
[2021-02-01 19:50:43.120396, 1612237843.120396]Preparing service...
[2021-02-01 19:50:44.129270, 1612237844.12927]Preparing service...
[2021-02-01 19:50:45.142152, 1612237845.142152]Preparing service...
[2021-02-01 19:50:46.146987, 1612237846.146987]Preparing service...
[2021-02-01 19:50:47.159184, 1612237847.159184]Preparing service...
[2021-02-01 19:50:47.162186, 1612237847.162186]Beginning web scraping...
[2021-02-01 19:50:47.163188, 1612237847.163188]Beginning web scraping...
[2021-02-01 19:50:47.164187, 1612237847.164187]Opening URL.
[2021-02-01 19:50:47.165185, 1612237847.165185]Opening URL.
[2021-02-01 19:50:47.166184, 1612237847.166184]Beginning web scraping...
[2021-02-01 19:50:47.167186, 1612237847.167186]Beginning web scraping...
[2021-02-01 19:50:47.167186, 1612237847.167186]Beginning web scraping...
[2021-02-01 19:50:47.206949, 1612237847.206949]Opening URL.
[2021-02-01 19:50:47.206949, 1612237847.206949]Opening URL.
[2021-02-01 19:50:47.222421, 1612237847.222421]Opening URL.
[2021-02-01 19:50:49.563180, 1612237849.56318]Searching for classes named SUGsignups.
[2021-02-01 19:50:49.581752, 1612237849.581752]Stripping and analyzing HTML.
[2021-02-01 19:50:49.583767, 1612237849.583767]No openings found!
[2021-02-01 19:50:49.765773, 1612237849.765773]Searching for classes named SUGsignups.
[2021-02-01 19:50:49.802328, 1612237849.802328]Stripping and analyzing HTML.
[2021-02-01 19:50:49.831987, 1612237849.831987]No openings found!
[2021-02-01 19:50:49.939988, 1612237849.939988]Searching for classes named SUGsignups.
[2021-02-01 19:50:49.958990, 1612237849.95899]Stripping and analyzing HTML.
[2021-02-01 19:50:49.985991, 1612237849.985991]No openings found!
[2021-02-01 19:50:50.112908, 1612237850.112908]Searching for classes named SUGsignups.
[2021-02-01 19:50:50.128416, 1612237850.128416]Stripping and analyzing HTML.
[2021-02-01 19:50:50.129468, 1612237850.129468]No openings found!
[2021-02-01 19:50:58.140889, 1612237858.140889]Searching for classes named SUGsignups.
[2021-02-01 19:50:58.232513, 1612237858.232513]Stripping and analyzing HTML.
[2021-02-01 19:50:58.236520, 1612237858.23652]No openings found!
[2021-02-01 19:50:59.249466, 1612237859.249466]Preparing service...
[2021-02-01 19:51:00.251134, 1612237860.251134]Preparing service...
[2021-02-01 19:51:01.267026, 1612237861.267026]Preparing service...
[2021-02-01 19:51:02.280684, 1612237862.280684]Preparing service...
[2021-02-01 19:51:03.291875, 1612237863.291875]Preparing service...
[2021-02-01 19:51:04.302834, 1612237864.302834]Preparing service...
[2021-02-01 19:51:05.317157, 1612237865.317157]Preparing service...
[2021-02-01 19:51:06.324905, 1612237866.324905]Preparing service...
[2021-02-01 19:51:07.337985, 1612237867.337985]Preparing service...
[2021-02-01 19:51:08.350490, 1612237868.35049]Preparing service...
[2021-02-01 19:51:09.362022, 1612237869.362022]Preparing service...
[2021-02-01 19:51:10.370863, 1612237870.370863]Preparing service...
[2021-02-01 19:51:11.384400, 1612237871.3844]Preparing service...
[2021-02-01 19:51:12.396140, 1612237872.39614]Preparing service...
[2021-02-01 19:51:13.410553, 1612237873.410553]Preparing service...
[2021-02-01 19:51:13.411551, 1612237873.411551]Beginning web scraping...
[2021-02-01 19:51:13.412553, 1612237873.412553]Opening URL.
[2021-02-01 19:51:13.432196, 1612237873.432196]Beginning web scraping...
[2021-02-01 19:51:13.433196, 1612237873.433196]Beginning web scraping...
[2021-02-01 19:51:13.434327, 1612237873.434327]Beginning web scraping...
[2021-02-01 19:51:13.434327, 1612237873.434327]Beginning web scraping...
[2021-02-01 19:51:13.434327, 1612237873.434327]Opening URL.
[2021-02-01 19:51:13.435337, 1612237873.435337]Opening URL.
[2021-02-01 19:51:13.471334, 1612237873.471334]Opening URL.
[2021-02-01 19:51:13.487335, 1612237873.487335]Opening URL.
[2021-02-01 19:51:16.031945, 1612237876.031945]Searching for classes named SUGsignups.
[2021-02-01 19:51:16.050945, 1612237876.050945]Stripping and analyzing HTML.
[2021-02-01 19:51:16.051943, 1612237876.051943]No openings found!
[2021-02-01 19:51:16.243468, 1612237876.243468]Searching for classes named SUGsignups.
[2021-02-01 19:51:16.261469, 1612237876.261469]Stripping and analyzing HTML.
[2021-02-01 19:51:16.263621, 1612237876.263621]No openings found!
[2021-02-01 19:51:17.207772, 1612237877.207772]Searching for classes named SUGsignups.
[2021-02-01 19:51:17.224764, 1612237877.224764]Stripping and analyzing HTML.
[2021-02-01 19:51:17.225775, 1612237877.225775]No openings found!
[2021-02-01 19:51:20.739603, 1612237880.739603]Searching for classes named SUGsignups.
[2021-02-01 19:51:20.758603, 1612237880.758603]Stripping and analyzing HTML.
[2021-02-01 19:51:20.759603, 1612237880.759603]No openings found!
[2021-02-01 19:51:22.551699, 1612237882.551699]Searching for classes named SUGsignups.
[2021-02-01 19:51:22.624700, 1612237882.6247]Stripping and analyzing HTML.
[2021-02-01 19:51:22.629126, 1612237882.629126]No openings found!
[2021-02-01 19:51:23.635399, 1612237883.635399]Preparing service...
[2021-02-01 19:51:24.649516, 1612237884.649516]Preparing service...
[2021-02-01 19:51:25.662468, 1612237885.662468]Preparing service...
[2021-02-01 19:51:26.675599, 1612237886.675599]Preparing service...
[2021-02-01 19:51:27.687600, 1612237887.6876]Preparing service...
[2021-02-01 19:51:28.698588, 1612237888.698588]Preparing service...
[2021-02-01 19:51:29.712607, 1612237889.712607]Preparing service...
[2021-02-01 19:51:30.722623, 1612237890.722623]Preparing service...
[2021-02-01 19:51:31.734513, 1612237891.734513]Preparing service...
[2021-02-01 19:51:32.747556, 1612237892.747556]Preparing service...
[2021-02-01 19:51:33.756613, 1612237893.756613]Preparing service...
[2021-02-01 19:51:34.780508, 1612237894.780508]Preparing service...
[2021-02-01 19:51:35.794517, 1612237895.794517]Preparing service...
[2021-02-01 19:51:36.795786, 1612237896.795786]Preparing service...
[2021-02-01 19:51:37.808464, 1612237897.808464]Preparing service...
[2021-02-01 19:51:37.810467, 1612237897.810467]Beginning web scraping...
[2021-02-01 19:51:37.811465, 1612237897.811465]Opening URL.
[2021-02-01 19:51:37.831469, 1612237897.831469]Beginning web scraping...
[2021-02-01 19:51:37.832466, 1612237897.832466]Beginning web scraping...
[2021-02-01 19:51:37.834464, 1612237897.834464]Beginning web scraping...
[2021-02-01 19:51:37.834464, 1612237897.834464]Beginning web scraping...
[2021-02-01 19:51:37.835464, 1612237897.835464]Opening URL.
[2021-02-01 19:51:37.856469, 1612237897.856469]Opening URL.
[2021-02-01 19:51:37.856469, 1612237897.856469]Opening URL.
[2021-02-01 19:51:37.897181, 1612237897.897181]Opening URL.
[2021-02-01 19:51:40.303540, 1612237900.30354]Searching for classes named SUGsignups.
[2021-02-01 19:51:40.320541, 1612237900.320541]Stripping and analyzing HTML.
[2021-02-01 19:51:40.321541, 1612237900.321541]No openings found!
[2021-02-01 19:51:40.498542, 1612237900.498542]Searching for classes named SUGsignups.
[2021-02-01 19:51:40.517131, 1612237900.517131]Stripping and analyzing HTML.
[2021-02-01 19:51:40.518133, 1612237900.518133]No openings found!
[2021-02-01 19:51:42.124140, 1612237902.12414]Searching for classes named SUGsignups.
[2021-02-01 19:51:42.141142, 1612237902.141142]Stripping and analyzing HTML.
[2021-02-01 19:51:42.142142, 1612237902.142142]No openings found!
